KASE_BMC 2013-01-03 - 2026-01-29;;;;
Дата;KASE_BMC;;;
06.02.19;99,99;;;
07.02.19;99,9868;;;
08.02.19;99,9906;;;
11.02.19;99,9209;;;
12.02.19;100,006;;;
13.02.19;99,7707;;;
14.02.19;99,8253;;;
15.02.19;99,8227;;;
18.02.19;99,8416;;;
19.02.19;99,8596;;;
20.02.19;99,877;;;
21.02.19;99,9907;;;
22.02.19;99,8833;;;
25.02.19;99,8964;;;
26.02.19;99,5822;;;
27.02.19;99,7576;;;
28.02.19;99,9758;;;
01.03.19;100,2391;;;
04.03.19;100,25;;;
05.03.19;100,2536;;;
06.03.19;100,2941;;;
07.03.19;100,2256;;;
11.03.19;100,3127;;;
12.03.19;100,3442;;;
13.03.19;100,32;;;
14.03.19;100,3236;;;
15.03.19;100,3263;;;
18.03.19;100,3381;;;
19.03.19;100,3417;;;
20.03.19;100,3437;;;
26.03.19;100,3452;;;
27.03.19;100,298;;;
28.03.19;100,2943;;;
29.03.19;100,2639;;;
01.04.19;100,446;;;
02.04.19;100,4501;;;
03.04.19;100,4596;;;
04.04.19;100,3795;;;
05.04.19;100,3066;;;
08.04.19;100,3946;;;
09.04.19;100,1448;;;
10.04.19;100,4351;;;
11.04.19;100,3876;;;
12.04.19;100,506;;;
15.04.19;100,4738;;;
16.04.19;100,3812;;;
17.04.19;100,4296;;;
18.04.19;100,457;;;
19.04.19;100,3911;;;
22.04.19;100,4439;;;
23.04.19;100,4378;;;
24.04.19;100,4809;;;
25.04.19;100,5267;;;
26.04.19;100,5048;;;
29.04.19;100,5014;;;
30.04.19;100,2638;;;
02.05.19;100,5311;;;
03.05.19;100,5195;;;
04.05.19;100,5381;;;
06.05.19;100,4988;;;
08.05.19;100,5446;;;
13.05.19;100,5036;;;
14.05.19;100,5082;;;
15.05.19;100,4822;;;
16.05.19;100,5408;;;
17.05.19;100,3458;;;
20.05.19;100,3557;;;
21.05.19;100,3586;;;
22.05.19;100,3616;;;
23.05.19;100,4111;;;
24.05.19;100,3017;;;
27.05.19;100,3606;;;
28.05.19;100,3021;;;
29.05.19;100,4281;;;
30.05.19;100,0714;;;
31.05.19;100,3699;;;
03.06.19;100,4058;;;
04.06.19;100,5293;;;
05.06.19;100,5319;;;
06.06.19;100,5345;;;
07.06.19;100,5371;;;
10.06.19;100,5244;;;
11.06.19;100,5466;;;
12.06.19;100,5412;;;
13.06.19;100,5466;;;
14.06.19;100,5266;;;
17.06.19;100,4091;;;
18.06.19;100,3195;;;
19.06.19;100,2405;;;
20.06.19;100,2987;;;
21.06.19;100,4264;;;
24.06.19;100,3612;;;
25.06.19;100,4378;;;
26.06.19;100,5268;;;
27.06.19;100,5293;;;
28.06.19;100,5307;;;
01.07.19;100,5382;;;
02.07.19;100,5925;;;
03.07.19;100,5943;;;
04.07.19;100,5965;;;
05.07.19;100,5584;;;
09.07.19;100,6073;;;
10.07.19;100,6097;;;
11.07.19;100,6119;;;
12.07.19;100,6195;;;
15.07.19;100,6196;;;
16.07.19;100,58;;;
17.07.19;100,4909;;;
18.07.19;100,3372;;;
19.07.19;100,6299;;;
22.07.19;100,6357;;;
23.07.19;100,6376;;;
24.07.19;100,6396;;;
25.07.19;100,6422;;;
26.07.19;100,6407;;;
29.07.19;100,6491;;;
30.07.19;100,5763;;;
31.07.19;100,491;;;
01.08.19;100,7295;;;
02.08.19;100,651;;;
05.08.19;100,6664;;;
06.08.19;100,6737;;;
07.08.19;100,6769;;;
08.08.19;100,5981;;;
09.08.19;100,6575;;;
12.08.19;100,6657;;;
13.08.19;100,6676;;;
14.08.19;100,6695;;;
15.08.19;100,6714;;;
16.08.19;100,6733;;;
19.08.19;100,6791;;;
20.08.19;100,681;;;
21.08.19;100,683;;;
22.08.19;100,6845;;;
23.08.19;100,6869;;;
26.08.19;100,6924;;;
27.08.19;100,7158;;;
28.08.19;100,6894;;;
29.08.19;100,6694;;;
02.09.19;100,6513;;;
03.09.19;100,6534;;;
04.09.19;100,644;;;
05.09.19;100,6574;;;
06.09.19;100,5936;;;
09.09.19;100,6742;;;
10.09.19;100,6942;;;
11.09.19;100,6666;;;
12.09.19;100,6805;;;
13.09.19;100,7987;;;
16.09.19;100,8051;;;
17.09.19;100,8072;;;
18.09.19;100,8093;;;
19.09.19;100,8114;;;
20.09.19;100,8135;;;
23.09.19;100,8189;;;
24.09.19;100,821;;;
25.09.19;100,8287;;;
26.09.19;100,8323;;;
27.09.19;100,7731;;;
30.09.19;100,8206;;;
01.10.19;100,8277;;;
02.10.19;100,8302;;;
03.10.19;100,8323;;;
04.10.19;100,8344;;;
07.10.19;100,8407;;;
08.10.19;100,8428;;;
09.10.19;100,822;;;
10.10.19;100,8471;;;
11.10.19;100,8493;;;
14.10.19;100,8549;;;
15.10.19;101,0979;;;
16.10.19;101,1028;;;
17.10.19;100,7969;;;
18.10.19;100,799;;;
21.10.19;101,1357;;;
22.10.19;100,8077;;;
23.10.19;100,8099;;;
24.10.19;100,8121;;;
25.10.19;100,8288;;;
28.10.19;100,7923;;;
29.10.19;100,8558;;;
30.10.19;100,6486;;;
31.10.19;100,6061;;;
01.11.19;101,0955;;;
04.11.19;101,0075;;;
05.11.19;100,7023;;;
06.11.19;101,1066;;;
07.11.19;101,1073;;;
08.11.19;100,8043;;;
11.11.19;101,006;;;
12.11.19;100,8377;;;
13.11.19;100,8386;;;
14.11.19;100,8422;;;
15.11.19;101,17;;;
18.11.19;100,8506;;;
19.11.19;100,8325;;;
20.11.19;100,867;;;
21.11.19;100,849;;;
22.11.19;100,8471;;;
25.11.19;100,7615;;;
26.11.19;100,85;;;
27.11.19;100,8479;;;
28.11.19;101,1565;;;
29.11.19;100,7297;;;
03.12.19;100,8708;;;
04.12.19;100,8765;;;
05.12.19;100,8917;;;
06.12.19;100,8811;;;
09.12.19;100,587;;;
10.12.19;100,8936;;;
11.12.19;100,9159;;;
12.12.19;100,8133;;;
13.12.19;100,9003;;;
18.12.19;100,9198;;;
19.12.19;100,9113;;;
20.12.19;100,9152;;;
23.12.19;100,9213;;;
24.12.19;100,8456;;;
25.12.19;100,7793;;;
26.12.19;100,7339;;;
27.12.19;100,8875;;;
30.12.19;100,7584;;;
31.12.19;100,6397;;;
05.01.20;100,9262;;;
06.01.20;100,9285;;;
08.01.20;100,9331;;;
09.01.20;100,9352;;;
10.01.20;100,9412;;;
13.01.20;100,9465;;;
14.01.20;100,9488;;;
15.01.20;100,9359;;;
16.01.20;100,9535;;;
17.01.20;100,9557;;;
20.01.20;100,9615;;;
21.01.20;100,9672;;;
22.01.20;100,9818;;;
23.01.20;100,8955;;;
24.01.20;101,001;;;
27.01.20;100,9421;;;
28.01.20;100,9663;;;
29.01.20;100,8968;;;
30.01.20;100,7464;;;
31.01.20;100,9486;;;
03.02.20;100,9553;;;
04.02.20;100,9575;;;
05.02.20;100,9597;;;
06.02.20;100,9618;;;
07.02.20;100,8978;;;
10.02.20;100,9046;;;
11.02.20;100,9102;;;
12.02.20;100,9092;;;
13.02.20;100,9334;;;
14.02.20;100,9139;;;
17.02.20;100,9209;;;
18.02.20;100,9381;;;
19.02.20;100,8969;;;
20.02.20;100,9;;;
21.02.20;100,9023;;;
24.02.20;100,9093;;;
25.02.20;100,9116;;;
26.02.20;100,92;;;
27.02.20;100,9229;;;
28.02.20;100,9151;;;
02.03.20;100,9079;;;
03.03.20;100,901;;;
04.03.20;100,9436;;;
05.03.20;100,9454;;;
06.03.20;100,9473;;;
10.03.20;99,6523;;;
11.03.20;99,944;;;
12.03.20;100,0042;;;
13.03.20;100,0071;;;
16.03.20;99,9899;;;
17.03.20;100,0188;;;
18.03.20;100,0056;;;
19.03.20;100,0581;;;
20.03.20;99,996;;;
26.03.20;99,6523;;;
27.03.20;99,6522;;;
30.03.20;99,662;;;
31.03.20;99,6596;;;
01.04.20;99,6556;;;
02.04.20;99,6555;;;
03.04.20;99,6594;;;
06.04.20;99,6697;;;
07.04.20;99,6732;;;
08.04.20;99,6767;;;
09.04.20;99,6802;;;
10.04.20;99,6837;;;
13.04.20;99,6942;;;
14.04.20;99,697;;;
15.04.20;99,7099;;;
16.04.20;99,2622;;;
17.04.20;99,7169;;;
20.04.20;99,7264;;;
21.04.20;99,7297;;;
22.04.20;99,7334;;;
23.04.20;99,7364;;;
24.04.20;99,7397;;;
27.04.20;99,7827;;;
28.04.20;99,7861;;;
29.04.20;99,7895;;;
30.04.20;99,7929;;;
04.05.20;99,8072;;;
05.05.20;99,8087;;;
06.05.20;99,8126;;;
11.05.20;99,8415;;;
12.05.20;99,8465;;;
13.05.20;99,8489;;;
14.05.20;99,8535;;;
15.05.20;99,8591;;;
18.05.20;100,0977;;;
19.05.20;100,0042;;;
20.05.20;100,1123;;;
21.05.20;100,1157;;;
22.05.20;100,119;;;
25.05.20;100,1297;;;
26.05.20;100,1334;;;
27.05.20;100,1371;;;
28.05.20;100,1408;;;
29.05.20;100,2934;;;
01.06.20;100,2998;;;
02.06.20;100,303;;;
03.06.20;100,3062;;;
04.06.20;100,3094;;;
05.06.20;100,3126;;;
08.06.20;100,3222;;;
09.06.20;100,3254;;;
10.06.20;100,3278;;;
11.06.20;100,3307;;;
12.06.20;100,3351;;;
15.06.20;100,3447;;;
16.06.20;100,3478;;;
17.06.20;100,3839;;;
18.06.20;100,3525;;;
19.06.20;100,3555;;;
22.06.20;100,3646;;;
23.06.20;100,361;;;
24.06.20;100,3708;;;
25.06.20;100,3739;;;
26.06.20;100,0915;;;
29.06.20;100,2623;;;
30.06.20;100,2638;;;
01.07.20;100,2703;;;
02.07.20;100,2701;;;
03.07.20;100,2732;;;
07.07.20;100,2858;;;
08.07.20;100,2891;;;
09.07.20;100,292;;;
10.07.20;100,2972;;;
13.07.20;100,305;;;
14.07.20;100,3082;;;
15.07.20;100,3093;;;
16.07.20;100,3233;;;
17.07.20;100,3007;;;
20.07.20;100,6784;;;
21.07.20;100,4625;;;
22.07.20;100,4974;;;
23.07.20;100,5013;;;
24.07.20;100,5547;;;
27.07.20;100,4896;;;
28.07.20;100,5749;;;
29.07.20;100,5777;;;
30.07.20;100,5803;;;
03.08.20;100,7443;;;
04.08.20;100,5089;;;
05.08.20;100,3779;;;
06.08.20;100,3976;;;
07.08.20;100,472;;;
10.08.20;100,4793;;;
11.08.20;100,4822;;;
12.08.20;100,6928;;;
13.08.20;100,8185;;;
14.08.20;100,7223;;;
17.08.20;100,8087;;;
18.08.20;100,7576;;;
19.08.20;100,8236;;;
20.08.20;100,6859;;;
21.08.20;100,7682;;;
24.08.20;100,7759;;;
25.08.20;100,779;;;
26.08.20;100,8454;;;
27.08.20;100,7867;;;
28.08.20;100,8225;;;
01.09.20;100,8024;;;
02.09.20;100,7882;;;
03.09.20;100,8874;;;
04.09.20;100,9217;;;
07.09.20;100,9158;;;
08.09.20;100,9544;;;
09.09.20;100,9575;;;
10.09.20;100,9639;;;
11.09.20;100,967;;;
14.09.20;101,0768;;;
15.09.20;101,0965;;;
16.09.20;100,9795;;;
17.09.20;100,9607;;;
18.09.20;100,9891;;;
21.09.20;101,0472;;;
22.09.20;100,9695;;;
23.09.20;101,0224;;;
24.09.20;101,0757;;;
25.09.20;101,0655;;;
28.09.20;101,1048;;;
29.09.20;101,0881;;;
30.09.20;101,0905;;;
01.10.20;101,2673;;;
02.10.20;101,1767;;;
05.10.20;101,1026;;;
06.10.20;101,1215;;;
07.10.20;101,1074;;;
08.10.20;101,1107;;;
