,loans_kz_total,loans_kz_biz_total,loans_kz_biz_kzt,loans_kz_biz_foreign,loans_kz_biz_small,loans_kz_biz_medium,loans_kz_biz_large,loans_kz_ind_total,loans_kz_ind_kzt,loans_kz_ind_foreign,loans_kz_ind_mortgage,loans_kz_ind_consumer,loans_kz_ind_others,cpi_kz_eoy_alcohol_tobacco,cpi_kz_eoy_soft_drinks,cpi_kz_eoy_housing_utilities,cpi_kz_eoy_health,cpi_kz_eoy_non_food_total,cpi_kz_eoy_education,cpi_kz_eoy_clothing_footwear,cpi_kz_eoy_recreation,cpi_kz_eoy_services_total,cpi_kz_eoy_household_items,cpi_kz_eoy_food_total,cpi_kz_eoy_food_only,cpi_kz_eoy_miscellaneous,cpi_kz_eoy_hotels_restaurants,cpi_kz_eoy_communication,cpi_kz_eoy_all,cpi_kz_eoy_transport,bond_kz_govt_cp_short_u1y,bond_kz_govt_cp_mid_1-5y,bond_kz_govt_cp_long_o5y,bond_kz_govt_cp_total,KASE_BMC,macro_kz_gdp_per_capita_usd,macro_kz_gdp_per_capita_kzt,macro_kz_gdp_per_capita_real_growth_pct,macro_kz_usd_kzt_avg,macro_kz_base_rate,macro_ru_key_rate,macro_ru_inflation_yoy,macro_ru_cpi_all_yoy,macro_ru_cpi_food_yoy,macro_ru_cpi_food_excl_alc_yoy,macro_ru_cpi_nonfood_yoy,macro_ru_cpi_services_yoy,bond_ru_ofz_yield_3m,bond_ru_ofz_yield_6m,bond_ru_ofz_yield_9m,bond_ru_ofz_yield_1y,bond_ru_ofz_yield_2y,bond_ru_ofz_yield_3y,bond_ru_ofz_yield_5y,bond_ru_ofz_yield_7y,bond_ru_ofz_yield_10y,bond_ru_ofz_yield_15y,bond_ru_ofz_yield_20y,macro_ru_labor_force,macro_ru_labor_employed,macro_ru_labor_unemployed,macro_ru_labor_participation_rate,macro_ru_labor_employment_rate,macro_ru_labor_unemployment_rate,macro_ru_ruonia_rate,macro_ru_ruonia_vol,bond_ru_corp_price_close,bond_ru_corp_yield,bond_ru_corp_duration,brent_price
2025-05-17,0.0004991472247368733,0.0004050217823738933,0.00023860434592037905,0.0008666243838764132,0.0003579302642169324,0.001559002091244821,2.8123993008222214e-05,0.000567027928891406,0.0005670050518098435,0.000770587586281124,0.0005437927146925148,0.0005919285692961296,0.00031477091866882745,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,109.05659340659341,111.16714285714286,110.94593406593407,104.40967032967033,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76222.12903225806,2.9354838709696196,0.3548387096775514,62.95161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-18,0.0004991472247333206,0.000405021782377446,0.00023860434592037905,0.0008666243838781895,0.00035793026421870877,0.0015590020912465974,2.8123993008222214e-05,0.0005670279288878532,0.0005670050518098435,0.0007705875862802358,0.0005437927146907384,0.0005919285692996823,0.0003147709186706038,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,109.03978021978021,111.14142857142858,110.9178021978022,104.39901098901099,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76225.3870967742,2.9354838709696196,0.354838709677324,62.95483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-19,0.0004991472247368733,0.000405021782377446,0.00023860434592037905,0.0008666243838764132,0.00035793026421870877,0.001559002091244821,2.8123993008222214e-05,0.000567027928891406,0.0005670050518098435,0.0007705875862802358,0.0005437927146907384,0.0005919285692961296,0.00031477091866882745,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,0.7100000000000364,2.3799999999999955,0.15999999999996817,1.5299999999999727,0.22860000000000014,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,109.02296703296703,111.11571428571429,110.88967032967034,104.38835164835166,1.4210854715202004e-14,-0.3299999999999983,-0.33000000000000185,-0.28999999999999915,-0.25,-0.10999999999999943,-0.08999999999999986,-0.09999999999999787,-0.09999999999999964,-0.09999999999999964,-0.08000000000000007,-0.07000000000000028,76228.64516129032,2.9354838709696196,0.3548387096775514,62.958064516129035,0.0,0.0,-0.020000000000003126,55.72999999999996,0.45000000000001705,-0.08999999999999986,0.0,1.0499999999999972
2025-05-20,0.0004991472247333206,0.000405021782377446,0.00023860434592037905,0.0008666243838781895,0.00035793026421870877,0.0015590020912465974,2.8123993008222214e-05,0.0005670279288878532,0.0005670050518098435,0.000770587586281124,0.0005437927146925148,0.0005919285692996823,0.0003147709186706038,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,0.36999999999989086,-0.8899999999999864,-1.6900000000000546,-0.05000000000006821,-0.11549999999999727,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,109.00615384615385,111.09,110.86153846153846,104.37769230769231,0.0,0.28999999999999915,0.370000000000001,0.3500000000000014,0.3000000000000007,0.03999999999999915,-0.00999999999999801,0.030000000000001137,0.06999999999999851,0.08000000000000007,0.02000000000000135,-0.02999999999999936,76231.90322580645,2.9354838709696196,0.354838709677324,62.961290322580645,0.0,0.0,-0.029999999999997584,45.56,0.19999999999998863,0.030000000000001137,3.0,0.6800000000000068
2025-05-21,0.0004991472247368733,0.000405021782377446,0.00023860434591682633,0.0008666243838764132,0.00035793026421870877,0.001559002091244821,2.8123993008222214e-05,0.0005670279288878532,0.0005670050518098435,0.0007705875862802358,0.0005437927146907384,0.0005919285692961296,0.00031477091866882745,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,-0.03999999999996362,-3.269999999999982,-5.75,-4.509999999999991,0.04259999999999309,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.98934065934066,111.06428571428572,110.8334065934066,104.36703296703297,-1.4210854715202004e-14,0.14999999999999858,0.26000000000000156,0.3200000000000003,0.3200000000000003,0.19000000000000128,0.05000000000000071,-0.040000000000000924,-0.02999999999999936,-0.009999999999999787,-0.009999999999999787,-0.019999999999999574,76235.16129032258,2.9354838709550677,0.354838709677324,62.964516129032255,0.0,0.0,-0.010000000000001563,26.879999999999995,0.1599999999999966,0.00999999999999801,-3.0,-1.0700000000000074
2025-05-22,0.0004991472247368733,0.000405021782377446,0.00023860434592037905,0.0008666243838764132,0.00035793026421870877,0.001559002091244821,2.8123993008222214e-05,0.000567027928891406,0.0005670050518098435,0.0007705875862802358,0.0005437927146907384,0.0005919285692996823,0.0003147709186706038,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,0.0,-1.1200000000000045,2.840000000000032,-0.37000000000000455,-0.026499999999998636,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.97252747252747,111.03857142857143,110.80527472527473,104.35637362637364,1.4210854715202004e-14,-0.029999999999997584,-0.1700000000000017,-0.26000000000000156,-0.3100000000000023,-0.3200000000000003,-0.22000000000000242,-0.08000000000000007,-0.009999999999999787,0.040000000000000924,0.08999999999999986,0.11999999999999922,76238.41935483871,2.9354838709696196,0.3548387096775514,62.96774193548387,0.0,0.0,-0.030000000000001137,36.10000000000002,0.18999999999999773,-0.019999999999999574,0.0,-0.9899999999999949
2025-05-23,0.0004991472247333206,0.000405021782377446,0.00023860434592037905,0.0008666243838781895,0.00035793026421870877,0.0015590020912465974,2.8123993008222214e-05,0.0005670279288878532,0.0005670050518098435,0.0007705875862802358,0.0005437927146925148,0.0005919285692961296,0.00031477091866882745,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,1.5899999999999181,1.3500000000000227,1.3400000000000318,-0.12000000000000455,0.12460000000000093,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.95571428571428,111.01285714285714,110.77714285714286,104.3457142857143,0.0,0.0799999999999983,0.21000000000000085,0.2699999999999996,0.28000000000000114,0.129999999999999,-0.019999999999999574,-0.11000000000000121,-0.08000000000000007,-0.030000000000001137,0.02999999999999936,0.0600000000000005,76241.67741935483,2.9354838709696196,0.354838709677324,62.97096774193548,0.0,0.0,-0.03999999999999915,99.83000000000004,0.21999999999999886,-0.03999999999999915,-1.0,0.539999999999992
2025-05-24,0.0004991472247368733,0.000405021782377446,0.00023860434592037905,0.0008666243838764132,0.00035793026421870877,0.001559002091244821,2.8123993008222214e-05,0.000567027928891406,0.0005670050518098435,0.000770587586281124,0.0005437927146907384,0.0005919285692996823,0.0003147709186706038,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.9389010989011,110.98714285714286,110.749010989011,104.33505494505495,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76244.93548387097,2.9354838709696196,0.3548387096775514,62.9741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-25,0.0004991472247333206,0.000405021782377446,0.00023860434592037905,0.0008666243838781895,0.00035793026421870877,0.0015590020912465974,2.8123993008222214e-05,0.0005670279288878532,0.0005670050518062908,0.0007705875862802358,0.0005437927146925148,0.0005919285692961296,0.00031477091866882745,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967740287,108.9220879120879,110.96142857142857,110.72087912087912,104.3243956043956,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76248.19354838709,2.9354838709696196,0.354838709677324,62.97741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-26,0.0004991472247368733,0.000405021782377446,0.00023860434592037905,0.0008666243838764132,0.00035793026421870877,0.001559002091244821,2.8123993008222214e-05,0.0005670279288878532,0.0005670050518098435,0.0007705875862802358,0.0005437927146907384,0.0005919285692996823,0.0003147709186706038,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,-0.5499999999999545,3.0499999999999545,-2.3700000000000045,1.2700000000000955,0.38810000000000855,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.90527472527472,110.93571428571428,110.69274725274725,104.31373626373627,0.0,-0.14000000000000057,-0.3099999999999987,-0.370000000000001,-0.34999999999999787,-0.03999999999999915,0.1700000000000017,0.27000000000000135,0.22000000000000064,0.15000000000000036,0.10999999999999943,0.10999999999999943,76251.45161290323,2.9354838709696196,0.354838709677324,62.98064516129032,0.0,0.0,-0.0799999999999983,-109.91000000000008,-0.12999999999999545,0.10999999999999943,-7.0,0.0
2025-05-27,0.0004991472247333206,0.000405021782377446,0.00023860434592037905,0.0008666243838781895,0.0003579302642169324,0.0015590020912465974,2.8123993008222214e-05,0.000567027928891406,0.0005670050518098435,0.000770587586281124,0.0005437927146907384,0.0005919285692961296,0.00031477091866882745,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,-0.2999999999999545,-7.399999999999977,2.689999999999941,0.14999999999997726,-0.5187999999999988,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.88846153846154,110.91,110.66461538461539,104.30307692307693,-1.4210854715202004e-14,-0.2099999999999973,-0.14000000000000057,-0.09999999999999787,-0.07000000000000028,-0.030000000000001137,0.00999999999999801,0.029999999999997584,0.019999999999999574,0.009999999999999787,-0.02999999999999936,-0.0600000000000005,76254.70967741935,2.9354838709696196,0.3548387096775514,62.983870967741936,0.0,0.0,0.03999999999999915,40.72000000000003,-0.009999999999990905,-0.010000000000001563,13.0,-1.0900000000000034
2025-05-28,0.0004991472247368733,0.000405021782377446,0.00023860434592037905,0.0008666243838764132,0.00035793026421870877,0.001559002091244821,2.8123993008222214e-05,0.0005670279288878532,0.0005670050518098435,0.0007705875862802358,0.0005437927146925148,0.0005919285692996823,0.0003147709186706038,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,1.0899999999999181,7.180000000000064,0.6299999999999955,1.5299999999999727,0.02189999999998804,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.87164835164835,110.88428571428571,110.63648351648352,104.29241758241758,1.4210854715202004e-14,-0.370000000000001,-0.8100000000000023,-0.9600000000000009,-0.9500000000000028,-0.5299999999999976,-0.3000000000000007,-0.15999999999999837,-0.120000000000001,-0.08000000000000007,-0.009999999999999787,0.02000000000000135,76257.96774193548,2.9354838709696196,0.354838709677324,62.987096774193546,0.0,0.0,0.14000000000000057,-111.84999999999997,0.18999999999999773,-0.0799999999999983,-3.0,1.4000000000000057
2025-05-29,0.0004991472247333206,0.000405021782377446,0.00023860434591682633,0.0008666243838781895,0.00035793026421870877,0.0015590020912465974,2.8123993008222214e-05,0.000567027928891406,0.0005670050518098435,0.0007705875862802358,0.0005437927146907384,0.0005919285692961296,0.00031477091866882745,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,0.060000000000172804,-2.300000000000068,0.6299999999999955,-1.1599999999999682,0.4065000000000083,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.85483516483517,110.85857142857142,110.60835164835166,104.28175824175825,0.0,0.25,0.620000000000001,0.7199999999999989,0.6600000000000001,0.16999999999999815,-0.05999999999999872,-0.15000000000000036,-0.1399999999999988,-0.1399999999999988,-0.17999999999999972,-0.21000000000000085,76261.2258064516,2.9354838709550677,0.3548387096775514,62.99032258064516,0.0,0.0,-0.120000000000001,-144.20000000000005,1.4000000000000057,-0.129999999999999,5.0,-1.1200000000000045
2025-05-30,0.0004991472247368733,0.000405021782377446,0.00023860434592037905,0.0008666243838764132,0.00035793026421870877,0.001559002091244821,2.8123993008222214e-05,0.0005670279288878532,0.0005670050518098435,0.0007705875862802358,0.0005437927146907384,0.0005919285692996823,0.0003147709186706038,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,-1.2200000000000273,-4.8700000000000045,-0.8299999999999272,-2.9600000000000364,0.16029999999999234,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.83802197802197,110.83285714285715,110.58021978021978,104.27109890109891,-1.4210854715202004e-14,-0.030000000000001137,-0.17999999999999972,-0.22999999999999687,-0.22999999999999687,-0.16000000000000014,-0.15000000000000036,-0.1899999999999995,-0.20000000000000107,-0.20000000000000107,-0.17999999999999972,-0.17999999999999972,76264.48387096774,2.9354838709696196,0.354838709677324,62.99354838709677,0.0,0.0,0.26000000000000156,202.78000000000003,0.8100000000000023,-0.17999999999999972,4.0,-0.28000000000000114
2025-05-31,0.0004991472247333206,0.000405021782377446,0.00023860434592037905,0.0008666243838781895,0.00035793026421870877,0.0015590020912465974,2.8123993008222214e-05,0.000567027928891406,0.0005670050518098435,0.000770587586281124,0.0005437927146925148,0.0005919285692961296,0.00031477091866882745,0.0,116.3,0.0,0.0,111.1,108.6,110.8,0.0,0.0,107.9,113.5,113.4,112.9,113.8,103.7,112.3,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015483870967742064,108.82120879120879,110.80714285714286,110.55208791208791,104.26043956043956,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76267.74193548386,2.9354838709696196,0.3548387096775514,62.99677419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
